33.880904,130.707372,0.033447,0.207520,1.085205,-6.774902,5.493164,-1.953125
33.880905,130.707371,0.023682,0.205322,1.081543,-5.126953,-2.807617,-1.647949
33.880905,130.707371,0.053467,0.186279,1.124512,19.897461,-0.854492,-0.549316
33.880905,130.707371,0.046387,0.142090,1.166260,6.408691,4.638672,-1.647949
33.880905,130.707371,0.094482,0.106445,1.222656,45.227051,19.226074,-6.286621
33.880905,130.707371,0.072266,0.176025,1.149414,-12.451172,0.244141,-0.610352
33.880905,130.707371,0.072266,0.176025,1.149414,-12.451172,0.244141,-0.610352
33.880905,130.707371,0.005859,0.206055,1.096924,1.098633,-0.305176,-0.549316
33.880905,130.707371,0.010010,0.232666,1.069580,-4.455566,0.061035,-1.403809
33.880905,130.707371,0.022705,0.238281,1.069336,0.671387,-1.220703,-1.464844
33.880905,130.707371,0.017578,0.231934,1.075928,-2.319336,-0.488281,-2.319336
33.880906,130.707371,0.022705,0.233398,1.073242,-2.258301,0.305176,-3.784180
33.880906,130.707371,0.044434,0.263916,1.067871,0.122070,-2.502441,1.403809
33.880906,130.707371,-0.034424,0.212891,1.090820,-2.929688,0.183105,1.220703
33.880906,130.707371,-0.034424,0.212891,1.090820,-2.929688,0.183105,1.220703
33.880906,130.707371,-0.014404,0.227051,1.069336,1.647949,5.371094,-3.295898
33.880906,130.707371,-0.021484,0.224854,1.049561,-2.075195,0.122070,2.319336
33.880906,130.707371,0.003662,0.246582,1.048584,0.244141,0.000000,-4.333496
33.880906,130.707371,0.017822,0.204346,1.082031,-4.394531,-0.854492,-3.173828
33.880906,130.707371,0.013672,0.236084,1.079346,-0.793457,-2.014160,0.000000
33.880906,130.707371,0.008789,0.237793,1.069336,-1.586914,-2.502441,-2.258301
33.880906,130.707371,-0.002197,0.239502,1.074463,-1.831055,0.488281,-1.892090
33.880906,130.707371,-0.002197,0.239502,1.074463,-1.831055,0.488281,-1.892090
33.880906,130.707371,-0.006592,0.233643,1.079102,-0.549316,-0.854492,-0.854492
33.880906,130.707371,-0.012695,0.236816,1.063477,-1.281738,-1.708984,0.427246
33.880906,130.707371,-0.004639,0.223877,1.068115,-1.159668,0.244141,0.671387
33.880906,130.707371,-0.005615,0.227051,1.066895,-2.624512,0.610352,-0.732422
33.880906,130.707371,-0.005127,0.228271,1.070557,-2.380371,2.441406,-2.136230
33.880906,130.707371,-0.003906,0.231445,1.076904,-0.488281,0.854492,0.610352
33.880906,130.707371,0.001465,0.234131,1.074707,-2.868652,-0.427246,0.793457
33.880906,130.707371,0.001465,0.234131,1.074707,-2.868652,-0.427246,0.793457
33.880907,130.707371,-0.023193,0.220703,1.066406,-1.770020,0.366211,-2.319336
33.880907,130.707371,0.004395,0.235840,1.072266,-2.563477,-1.037598,-0.549316
33.880907,130.707371,0.000488,0.231201,1.072021,-2.075195,0.793457,-1.281738
33.880907,130.707371,-0.020752,0.229004,1.068115,-1.525879,0.061035,0.732422
33.880907,130.707371,-0.002197,0.236328,1.075195,-3.112793,0.915527,-1.342773
33.880907,130.707371,-0.016113,0.242188,1.061279,-2.197266,0.000000,-2.136230
33.880907,130.707371,0.002930,0.227295,1.073975,-0.366211,1.525879,0.000000
33.880907,130.707371,0.002930,0.227295,1.073975,-0.366211,1.525879,0.000000
33.880907,130.707371,0.000000,0.227051,1.067139,-2.502441,0.976562,-0.610352
33.880907,130.707371,-0.003174,0.221191,1.062988,1.281738,0.976562,-0.305176
33.880907,130.707371,0.040039,0.255127,1.073486,-0.915527,-3.662109,-1.281738
33.880907,130.707371,0.027588,0.260254,1.065430,-1.953125,2.136230,-0.366211
33.880907,130.707371,-0.012451,0.232178,1.051270,-3.479004,0.244141,0.427246
33.880907,130.707371,-0.018555,0.228516,1.065918,-2.868652,0.732422,0.732422
33.880907,130.707371,0.004883,0.232422,1.075439,-0.366211,1.342773,-0.305176
33.880907,130.707371,0.004883,0.232422,1.075439,-0.366211,1.342773,-0.305176
33.880907,130.707371,-0.078125,0.183105,1.065674,-2.563477,2.380371,-1.647949
33.880907,130.707371,-0.014160,0.235596,1.073730,-4.272461,5.126953,-2.319336
33.880907,130.707371,-0.001465,0.233398,1.058594,-1.586914,1.525879,0.915527
33.880907,130.707371,-0.000488,0.228516,1.069336,-0.976562,0.061035,-0.366211
33.880907,130.707371,-0.033203,0.234619,1.056641,-0.366211,-3.967285,-0.793457
33.880907,130.707371,-0.008789,0.230713,1.052979,-1.647949,-2.258301,0.549316
33.880907,130.707371,0.021729,0.254395,1.044678,-1.037598,1.525879,-0.305176
33.880907,130.707371,0.021729,0.254395,1.044678,-1.037598,1.525879,-0.305176
33.880907,130.707371,-0.003662,0.239746,1.067871,-2.319336,0.183105,-1.708984
33.880907,130.707371,-0.024658,0.240723,1.104980,-4.516602,5.249023,-4.760742
33.880907,130.707371,-0.068359,0.141113,0.967285,-2.502441,0.793457,-16.845703
33.880907,130.707371,0.166016,0.195312,0.997803,-13.671875,-33.386230,-21.911621
33.880907,130.707371,-0.079834,0.276367,1.060059,-6.835938,9.887695,-16.235352
33.880907,130.707371,0.006348,0.301758,1.012451,-2.258301,3.417969,-11.901855
33.880906,130.707370,0.019287,0.305908,1.064941,-1.464844,4.211426,-23.986816
33.880906,130.707370,0.019287,0.305908,1.064941,-1.464844,4.211426,-23.986816
33.880906,130.707370,-0.083984,0.333984,1.044189,-6.286621,9.643555,-46.264648
33.880906,130.707370,-0.164307,0.340088,0.989746,2.441406,3.417969,-52.062988
33.880906,130.707370,-0.207031,0.340576,0.956543,-1.647949,0.427246,-41.259766
33.880906,130.707370,-0.211670,0.319092,1.181641,3.356934,-5.432129,6.164551
33.880906,130.707370,-0.247314,0.364502,1.025879,9.155273,-10.192871,57.556152
33.880906,130.707370,-0.110107,0.328125,1.114990,1.159668,-4.333496,36.743164
33.880906,130.707370,0.022949,0.312256,1.039062,2.624512,2.990723,8.117676
33.880906,130.707370,0.022949,0.312256,1.039062,2.624512,2.990723,8.117676
33.880904,130.707365,-0.103760,0.395264,1.020020,1.037598,0.976562,-0.488281
33.880904,130.707365,0.035400,0.320557,1.046387,9.521484,-6.469727,-3.784180
33.880904,130.707365,-0.211914,0.221924,1.323486,-5.187988,-9.155273,-8.361816
33.880904,130.707365,-0.156982,0.172852,1.046387,-15.136719,11.291504,5.004883
33.880904,130.707365,0.087402,0.238770,0.965820,6.958008,-3.417969,-7.507324
33.880904,130.707365,-0.184326,0.248535,1.105957,-5.249023,-23.071289,-16.174316
33.880904,130.707365,-0.184326,0.248535,1.105957,-5.249023,-23.071289,-16.174316
33.880904,130.707365,-0.130127,0.306152,0.923096,9.826660,-21.118164,-16.052246
33.880904,130.707365,-0.077637,0.249756,1.093994,-3.295898,8.422852,-27.954102
33.880904,130.707365,-0.208984,0.255615,1.150146,3.356934,3.173828,-20.019531
33.880902,130.707353,-0.008057,0.247314,1.089355,13.061523,-39.916992,33.020020
33.880902,130.707353,-0.205566,0.095703,1.049561,10.559082,-20.019531,50.781250
33.880902,130.707353,0.000488,-0.066162,0.996826,-7.202148,-21.911621,44.311523
33.880902,130.707353,0.069824,0.386963,0.906494,3.234863,-8.178711,37.841797
33.880902,130.707353,0.069824,0.386963,0.906494,3.234863,-8.178711,37.841797
33.880902,130.707353,-0.037842,0.362305,1.084473,-9.582520,8.789062,43.029785
33.880902,130.707353,0.190186,0.302246,1.114502,-0.366211,3.967285,15.991211
33.880902,130.707353,0.130859,0.353027,1.002930,-3.784180,11.047363,-10.314941
33.880902,130.707353,0.121338,0.353271,1.053467,-0.549316,4.455566,-23.986816
